"","x"
"1",1
"2",1
"3",0.857142857142857
"4",0.954545454545455
"5",1
"6",0.947368421052632
"7",0.95
"8",0.619047619047619
"9",1
"10",1
"11",1
"12",1
"13",0.956521739130435
"14",0.833333333333333
"15",0.958333333333333
"16",1
"17",1
"18",1
"19",0.6
"20",0.727272727272727
"21",1
"22",0.863636363636364
"23",0.958333333333333
"24",1
"25",0.947368421052632
"26",1
"27",1
"28",1
"29",1
"30",0.91304347826087
"31",0.565217391304348
"32",1
"33",1
"34",1
"35",1
"36",0.954545454545455
"37",0.9
"38",1
"39",1
"40",1
"41",0.947368421052632
"42",0.944444444444444
"43",0.8
"44",1
"45",0.95
"46",1
"47",0.85
"48",0.952380952380952
"49",0.708333333333333
"50",1
"51",1
"52",1
"53",0.818181818181818
"54",1
"55",1
"56",0.666666666666667
"57",1
"58",1
"59",1
"60",0.956521739130435
"61",0.85
"62",0.909090909090909
"63",1
"64",0.944444444444444
"65",1
"66",1
"67",0.727272727272727
"68",1
"69",1
"70",0.952380952380952
"71",1
"72",1
"73",0.952380952380952
"74",0.333333333333333
"75",1
"76",1
"77",1
"78",0.157894736842105
"79",0.888888888888889
"80",1
"81",1
"82",1
"83",1
"84",0.826086956521739
"85",1
"86",1
"87",1
"88",0.944444444444444
"89",0.818181818181818
"90",0.952380952380952
